avis,Frekvens,postnummer, antall 
52,24,8646, 78 
52,24,8647, 28 
52,24,8656, 1 
52,24,8661, 1 
52,24,8700, 33 
52,24,8704, 4 
52,24,8705, 1 
52,24,8720, 2 
52,24,8723, 2 
52,24,8724, 4 
52,24,8725, 40 
52,24,8730, 11 
52,24,8733, 1 
52,24,8735, 2 
52,24,8740, 1 
52,24,8743, 3 
52,24,8750, 2 
52,24,8752, 12 
52,24,8754, 1 
52,24,8762, 5 
52,24,8764, 3 
52,24,8766, 6 
52,24,8770, 2 
52,24,8800, 3 
52,24,8802, 1 
52,24,8803, 1 
52,24,8813, 1 
52,24,8820, 1 
52,24,8890, 1 
52,24,8897, 2 
52,24,8909, 1 
32,25,1475, 1 
32,25,1712, 1 
32,25,1890, 1 
32,25,1900, 2 
32,25,2016, 1 
32,25,2040, 1 
32,25,2072, 1 
32,25,2080, 1 
32,25,2611, 1 
32,25,2670, 1 
32,25,2825, 1 
32,25,2849, 1 
32,25,2900, 1 
32,25,2940, 1 
32,25,3170, 1 
32,25,3340, 1 
32,25,3425, 1 
32,25,3560, 1 
32,25,3570, 2 
32,25,3577, 1 
32,25,3579, 1 
32,25,3580, 1 
32,25,3614, 1 
32,25,3620, 1 
32,25,3628, 1 
32,25,3647, 1 
32,25,3870, 1 
32,25,3880, 1 
32,25,4335, 1 
32,25,4460, 1 
32,25,4480, 1 
32,25,4640, 1 
32,25,4658, 1 
32,25,4735, 1 
32,25,4745, 1 
32,25,4904, 1 
32,25,5283, 1 
32,25,5412, 1 
32,25,5463, 1 
32,25,5514, 1 
32,25,5546, 1 
32,25,5590, 1 
32,25,5596, 1 
32,25,5600, 10 
32,25,5610, 13 
32,25,5612, 4 
32,25,5614, 14 
32,25,5620, 1 
32,25,5627, 2 
32,25,5628, 1 
32,25,5630, 1 
32,25,5636, 1 
32,25,5640, 2 
32,25,5650, 1 
32,25,5652, 1 
32,25,5706, 122 
32,25,5707, 50 
32,25,5708, 191 
32,25,5709, 155 
32,25,5710, 269 
32,25,5713, 191 
32,25,5722, 41 
32,25,5723, 26 
32,25,5725, 10 
32,25,5727, 10 
32,25,5728, 26 
32,25,5729, 8 
32,25,5730, 119 
32,25,5734, 17 
32,25,5736, 143 
32,25,5743, 2 
32,25,5745, 5 
32,25,5746, 1 
32,25,5747, 2 
32,25,5750, 8 
32,25,5763, 1 
32,25,5776, 4 
32,25,5777, 1 
32,25,5778, 2 
32,25,5780, 20 
32,25,5781, 9 
32,25,5783, 14 
32,25,5784, 3 
32,25,5785, 2 
32,25,5970, 1 
32,25,5983, 1 
32,25,6280, 1 
32,25,6456, 1 
32,25,6475, 1 
32,25,6639, 1 
32,25,6723, 1 
32,25,6783, 1 
32,25,6813, 1 
32,25,6823, 1 
32,25,6826, 1 
32,25,6854, 1 
32,25,6856, 3 
32,25,6857, 1 
32,25,6879, 1 
32,25,6887, 2 
32,25,6893, 6 
32,25,6894, 1 
32,25,6895, 3 
32,25,6899, 1 
32,25,6906, 1 
32,25,6993, 1 
32,25,7718, 1 
32,25,8206, 1 
32,25,8624, 1 
32,25,8800, 1 
32,25,9350, 1 
2,24,1475, 2 
2,24,1488, 2 
2,24,1615, 1 
2,24,1730, 1 
2,24,1911, 1 
2,24,1925, 1 
2,24,1940, 1 
2,24,2000, 2 
2,24,2016, 3 
2,24,2022, 1 
2,24,2034, 2 
2,24,2080, 2 
2,24,2114, 1 
2,24,2256, 1 
2,24,2312, 2 
2,24,2323, 3 
2,24,2324, 1 
2,24,2340, 6 
2,24,2387, 1 
2,24,2413, 1 
2,24,2416, 1 
2,24,2420, 1 
2,24,2436, 1 
2,24,2440, 2 
2,24,2443, 8 
2,24,2448, 6 
2,24,2450, 1 
2,24,2477, 1 
2,24,2480, 1 
2,24,2484, 8 
2,24,2485, 3 
2,24,2500, 393 
2,24,2510, 30 
2,24,2512, 36 
2,24,2540, 151 
2,24,2542, 60 
2,24,2544, 7 
2,24,2550, 263 
2,24,2552, 33 
2,24,2555, 17 
2,24,2560, 175 
2,24,2580, 77 
2,24,2582, 19 
2,24,2584, 26 
2,24,2611, 1 
2,24,2614, 1 
2,24,2618, 1 
2,24,2651, 1 
2,24,2653, 1 
2,24,2680, 1 
2,24,2686, 1 
2,24,2687, 1 
2,24,2918, 1 
2,24,2930, 1 
2,24,2966, 1 
2,24,2975, 1 
2,24,3050, 1 
2,24,3057, 1 
2,24,3140, 1 
2,24,3160, 1 
2,24,3174, 1 
2,24,3269, 1 
2,24,3403, 1 
2,24,3408, 1 
2,24,3420, 2 
2,24,3430, 1 
2,24,3440, 1 
2,24,3539, 1 
2,24,3550, 1 
2,24,3560, 1 
2,24,3577, 1 
2,24,3628, 1 
2,24,3840, 1 
2,24,3946, 1 
2,24,4331, 1 
2,24,4623, 1 
2,24,5652, 1 
2,24,5983, 1 
2,24,6523, 1 
2,24,6683, 1 
2,24,6847, 1 
2,24,6982, 1 
2,24,7020, 2 
2,24,7024, 2 
2,24,7100, 1 
2,24,7105, 2 
2,24,7180, 1 
2,24,7224, 1 
2,24,7228, 1 
2,24,7232, 1 
2,24,7236, 1 
2,24,7240, 1 
2,24,7246, 1 
2,24,7290, 4 
2,24,7298, 3 
2,24,7300, 2 
2,24,7340, 3 
2,24,7350, 1 
2,24,7370, 49 
2,24,7372, 61 
2,24,7374, 525 
2,24,7375, 71 
2,24,7380, 151 
2,24,7383, 46 
2,24,7387, 3 
2,24,7391, 3 
2,24,7517, 1 
2,24,7540, 2 
2,24,7550, 1 
2,24,7580, 3 
2,24,7590, 14 
2,24,7620, 1 
2,24,7622, 1 
2,24,7630, 1 
2,24,7711, 1 
2,24,7724, 1 
2,24,7760, 2 
2,24,7805, 1 
2,24,7870, 2 
2,24,7900, 1 
2,24,8004, 1 
2,24,8310, 2 
2,24,8410, 1 
2,24,8646, 1 
2,24,8682, 1 
2,24,9334, 1 
2,24,9700, 1 
2,24,9800, 1 
23,246,1890, 1 
23,246,3080, 2 
23,246,3089, 2 
23,246,3090, 1 
23,246,3125, 1 
23,246,3148, 1 
23,246,3157, 2 
23,246,3158, 1 
23,246,3160, 2 
23,246,3170, 1 
23,246,3174, 1 
23,246,3176, 1 
23,246,3179, 119 
23,246,3180, 51 
23,246,3183, 131 
23,246,3184, 65 
23,246,3185, 52 
23,246,3186, 182 
23,246,3189, 181 
23,246,3267, 1 
23,246,3280, 1 
23,246,3296, 1 
23,246,3370, 1 
23,246,3622, 1 
23,246,6900, 1 
5,123456,2120, 1 
5,123456,2848, 1 
