navn,adresse,postnummer,poststed
NOTODDEN BARNESKOLE AVD. SÆTRE,FRIDTJOF NANSENS GATE 41,3679,NOTODDEN
STRIDSKLEV SKOLE,STRIDSKLEV RING 120,3929,PORSGRUNN
ESSO/DELI DE LUCA NOTODDEN,HEDDALSVEGEN 20,3674,NOTODDEN
REMA 1000 HERØYA,FJORDGATA 29,3936,PORSGRUNN
EXTRA GRÅTENMOEN avd 267900,INFANTERIVEGEN 16,3734,SKIEN
SOMMERBÅTEN,GANGVEIEN 5,3960,STATHELLE
SKOTFOSS OPPVEKSTSENTER,KIRKEBAKKEN 1,3720,SKIEN
BRATTÅS SKOLE,BRATTÅSVEGEN 12,3942,PORSGRUNN
GRØNLI SKOLE,RØNNINGVEGEN 85,3925,PORSGRUNN
KJØLNES UNGDOMSSKOLE,GRENLANDSGATA 9,3912,PORSGRUNN
REMA 1000 Tollnes,LEIRVOLLEN 6,3736,SKIEN
Joker Duestien,DUESTIEN 15,3717,SKIEN
Circle K Skjelsvik,BREVIKSVEGEN 40,3943,PORSGRUNN
Extra Ulefoss,STÅRRVEGEN 5,3830,ULEFOSS
"SKIEN FRITIDSPARK, AVD. HOTELL",MOFLATVEGEN 59,3733,SKIEN
REMA 1000 Moflata,MARIBAKKANE 2,3728,SKIEN
Extra Dr. Munk,DR.MUNKS GATE 6,3912,PORSGRUNN
LUNDE 10-ÅRIGE SKOLE,BRUGATA 42,3825,LUNDE
BORGE SKOLE,ØVRE LIANE 57,3914,PORSGRUNN
GVARV SKOLE,TINGHAUGVEGEN 1,3810,GVARV
SÆTRE SKOLE,FRIDTJOF NANSENS GATE 41,3679,NOTODDEN
REMA 1000 Herkules,MELUMVEGEN 6,3730,SKIEN
Narvesen 451 Kragerø,STORGATA 2,3770,KRAGERØ
SPAR Rugtvedt,EUROPAVEIEN 139,3962,STATHELLE
REMA 1000 Menstad,GUNNAR KNUDSENS VEG 66,3712,SKIEN
REMA 1000 Notodden,BIRKELANDS GATE 3,3674,NOTODDEN
EXTRA KVANTUM,MERDEVEGEN 22,3676,NOTODDEN
BAMBLE VIDEREGÅENDE SKOLE,SUNDBYKÅSA 29,3961,STATHELLE
HEISTAD SKOLE,LUNDEDALEN 35,3940,PORSGRUNN
SPAR TOPPEN,GREGORIUS DAGSSONS GATE 50,3746,SKIEN
SPAR BORGESTAD,GREGORIUS DAGSSONS GATE 221,3712,SKIEN
Narvesen 327 Herkules senter,ULEFOSSVEGEN 32,3730,SKIEN
REMA 1000 FALKUM,ODDS PLASS 1,3722,SKIEN
KIWI 967 TUVEN,SEMSVEGEN 56,3676,NOTODDEN
Narvesen 482 Tuvensenteret,TUVENBØYGEN 2,3676,NOTODDEN
REMA 1000 Skogen,BØGATA 55,3800,BØ I TELEMARK
Extra Notodden,STORGATA 13,3674,NOTODDEN
REMA 1000 Stridsklev,STRIDSKLEV RING 32,3929,PORSGRUNN
REMA 1000 Vallermyrene,LANGMYRVEGEN 12,3917,PORSGRUNN
SPAR Fyresdal,FOLKESTADGATA 4,3870,FYRESDAL
Nr1 Trykk Larvik,BORGEJORDET 23,3269,LARVIK
KIWI 452 MYREN,SLIPERIVEGEN 11,3718,SKIEN
REMA 1000 BØ,LUNDEVEGEN 11,3800,BØ I TELEMARK
Rugtvedt Veiservice,STOKKEVANNVEIEN 2,3962,STATHELLE
MENY Down Town,KULLTANGVEGEN 70,3921,PORSGRUNN
YX Gvarv,GVARVGATA 35,3810,GVARV
KIWI 973 Lunde,BRUGATA 8,3825,LUNDE
ESSO/DELI DE LUCA MYREN,MYREN 1,3718,SKIEN
REMA 1000 Tuven,SEMSVEGEN 40,3676,NOTODDEN
REMA 1000 EIKLI,BARBROVEIEN 7,3511,HØNEFOSS
REMA 1000 VIK,VIK 0,3530,RØYSE
MENY OSLOVEIEN,Dronning Åstas gate 4,3511,HØNEFOSS
MIX Sentrum Stopp,STANGS GATE 10,3510,HØNEFOSS
KIWI 388 VIK,VIK,3530,RØYSE
KIWI 525 OSLOVEIEN,Dronning Åstas gate 10,3511,HØNEFOSS
MENY KUBEN,KONG RINGS GATE,3510,HØNEFOSS
KIWI 572 HØNENGATA,HØNENGATA 70,3515,HØNEFOSS
AS Ringerikes Blad,KVERNBERGGATA 5,3510,HØNEFOSS
SØRLIE RANDI TOBAKK,HØNENGATA 70,3515,HØNEFOSS
SPAR SUNDVOLLEN,KLEIVSTADGATA 4,3531,KROKKLEIVA
EXTRA HERADSBYGDA,VALHALLVEIEN 1,3518,HØNEFOSS
COOP PRIX KRØDEREN,KRØDERFJORDVEIEN 397,3535,KRØDEREN
COOP MEGA HØNEFOSS,INDUSTRIGATA 1,3515,HØNEFOSS
LÆRINGSSENTERET FOR VOKSNE,Ringeriksgata 35,3510,HØNEFOSS
EXTRA KLEKKEN,ØVRE KLEKKENVEI 53,3514,HØNEFOSS
ARBEIDSINSTITUTTET,ÅDALSVEIEN 55,3516,HØNEFOSS
HELGERUD SKOLE,Valhallveien 27,3518,HØNEFOSS
SUNDVOLLEN OPPVEKSTSENTER,Dronningveien 19,3531,KROKKLEIVA
VIK SKOLE,VIKSVEIEN 27,3530,RØYSE
HOV UNGDOMSSKOLE,Hovsmarkveien 14,3515,HØNEFOSS
ULLERÅL SKOLE,HOVSMARKVEIEN 7,3515,HØNEFOSS
VANG SKOLE,FLØYTINGEN 95,3514,HØNEFOSS
EIKLI SKOLE,Osloveien 2,3511,HØNEFOSS
HØNEFOSS SKOLE,HØNENGATA 9,3513,HØNEFOSS
VEIEN SKOLE,VEIENKOLLEN 20,3517,HØNEFOSS
REMA 1000 Hønengata,HØNENGATA 18,3513,HØNEFOSS
STEINERSKOLEN PÅ RINGERIKE,ALMVEIEN 15,3520,JEVNAKER
REMA 1000 HØNENGATEN,HØNENGATA 18,3513,HØNEFOSS
HOLE UNGDOMSKOLE,KOKSRUDVEIEN 21,3530,RØYSE
VEIENMARKA UNGDOMSSKOLE,RINGVEIEN 103,3517,HØNEFOSS
HØNEFOSS VIDEREGÅENDE SKOLE,OSLOVEIEN 17,3511,HØNEFOSS
BENTERUD SKOLE,HARALD HARDRÅDES GATE 31,3511,HØNEFOSS
Extra Hvervenkastet,OSLOVEIEN 75,3511,HØNEFOSS
EXTRA OSLOVEIEN,OSLOVEIEN 10,3511,HØNEFOSS
Shell Sletta,HØNENGATA 75,3515,HØNEFOSS
St1 Vik,RØYSEVEIEN 1,3530,RØYSE
Circle K Vik,HOLEVEIEN 1741,3530,RØYSE
PORSGRUNNS DAGBLAD,KAMMERHERRELØKKA 5,3916,PORSGRUNN
Narvesen 453 Porsgrunn Jbst,JERNBANEGATA 14,3915,PORSGRUNN
TINNESMOEN SKOLE,LANGKÅSVEIEN 14,3675,NOTODDEN
FULLDISTRIB. 3679,MERDEVEGEN 2,3676,NOTODDEN
NOTODDEN BANRESKOLE,FRIDTJOF NANSENS GATE 41,3679,NOTODDEN
NOTODDEN MANGFOLDS- OG LÆRINGSS.,STORGATA 81,3674,NOTODDEN
NOTODDEN UNGDOMSSKOLE,FRIDTJOF NANSENS GATE 43,3679,NOTODDEN
Notodden Bobilcamp,NESØYA 9,3674,NOTODDEN
RESERVEAVISER NOTODDEN D-PUNKT,MERDEVEGEN 2,3676,NOTODDEN
TELEN,HEDDALSVEGEN 11,3674,NOTODDEN
FULLDISTR. 3788,Dalanev 4,3770,KRAGERØ
FULLDISTR. 4980,Borgeskogen 57,3160,STOKKE
FULLDISTR. 4993,Borgeskogen 65,3160,STOKKE
FULLDISTR. 4971,Borgeskogen 65,3160,STOKKE
HELLE SKOLE,HASSELDALSVEIEN 1,3790,HELLE
FULLDISTR. 3783 KR. SKJÆRGÅRD,Borgeskogen 65,3160,STOKKE
FULLDISTR. 3772,Borgeskogen 65,3160,STOKKE
FULLDISTR. 4972,BORGESKOGEN 65,3160,STOKKE
Sannidal Veiservice,SANNIDALSVEIEN 164,3766,SANNIDAL
Kragerø Blad,YTRE STRANDVEI 4,3770,KRAGERØ
KIWI 018 FLISA,IDRETTSVEGEN 3,2270,FLISA
KIWI 033 KONGSVINGER,TRONSMOS VEG 2,2211,KONGSVINGER
COOP OBS ELVERUM,TORGGATA 1,2408,ELVERUM
EXTRA FLISA,KAFFEGATA 9,2270,FLISA
KIWI 062 GJEMSELUND,OLE R. GJEMS VEG 11,2212,KONGSVINGER
SHELL VINGER,LENSMANN JAHNSENS VEG 1,2211,KONGSVINGER
EUROSPAR SKARNES,BRUVEGEN 17,2100,SKARNES
EXTRA JERNBANEGATA,JERNBANEGATA 6,2211,KONGSVINGER
EXTRA KONGSVINGER,KRISTIAN WALBYS VEG 2,2212,KONGSVINGER
EXTRA SKARNES,BRUVEGEN 13,2100,SKARNES
BUNNPRIS RASTA,RASTAVEGEN 1,2211,KONGSVINGER
MIX Rasta Storkiosk,LERKEVEGEN 54,2209,KONGSVINGER
Joker Braskereidfoss,BRASKEREIDSVEGEN 3,2435,BRASKEREIDFOSS
MIX-KIOSKEN KONGSSENTERET,BRUGATA 15,2212,KONGSVINGER
EXTRA KIRKENÆR,STASJONSVEGEN 8,2260,KIRKENÆR
EXTRA FESTNINGEN,ØVRE LANGELANDSVEG 34,2213,KONGSVINGER
REMA 1000 Kurudsand,GLOMMENGATA 115,2211,KONGSVINGER
REMA 1000 Skarnes,ØGARDSVEGEN 3,2100,SKARNES
Joker Skarnes,LEHMANNS VEG 1,2100,SKARNES
ESSO BRUGATA,BRUGATA 40,2212,KONGSVINGER
ESSO SKARNES,OSLOVEGEN 2,2100,SKARNES
ÅSNES UNGDOMSSKOLE,SKOLEVEGEN 11,2270,FLISA
FLISA SKOLE,SKOLEVEGEN 50,2270,FLISA
VÅLER BARNE- OG UNGDOMSSKOLE,SKOLEVEGEN 5,2436,VÅLER I SOLØR
FJELLFOTEN SKOLE,FJELLFOTVEGEN 17,2150,ÅRNES
GLOMMASVINGEN SKOLE,SKOLEVEGEN 16,2100,SKARNES
LANGELAND SKOLE,ØVRE LANGELANDSVEG 65,2214,KONGSVINGER
KIWI 087 Våler,DR. SJURSENS VEG 5,2436,VÅLER I SOLØR
GRUE BARNE- OG UNGDOMSSKOLE,RÅDHUSPLASSEN 3,2260,KIRKENÆR
MARIKOLLEN SKOLE,TRYGVE STOKKES VEG 57,2208,KONGSVINGER
KIWI 088 Kongssenteret,BRUGATA 15,2212,KONGSVINGER
ESSO KIRKENÆR,BRUVEGEN 1,2260,KIRKENÆR
REMA 1000 EPA,STORGATA 40,2212,KONGSVINGER
REMA 1000 Langeland,INDUSTRIVEGEN 5,2212,KONGSVINGER
CIRCLE K FLISA,KJØLABAKKEN 32,2270,FLISA
GLÅMDALEN REDAKSJONEN,MARKENSVEGEN 1,2212,KONGSVINGER
REMA 1000 FLISA,FRØYAS GATE 1,2270,FLISA
Nærbutikken Arnesen,INNATILVEIEN 3,2480,KOPPANG
Esso Våler,VÅLGUTUA 208,2436,VÅLER I SOLØR
KIWI 043 FJELDSET,C.J.HAMBROS VEG 2,2414,ELVERUM
KIWI 053 Elverum,TORGGATA 3,2408,ELVERUM
Obs Olrud,KÅRTORPVEGEN 1,2320,FURNES
COOP PRIX TOLGA,BRUGATA 40,2540,TOLGA
MENY ELVERUM,KIRKEVEGEN 6,2414,ELVERUM
KIWI 221 RIDABU,TODDERUDVEGEN 46,2322,RIDABU
REMA 1000 ELGEN,JEGERSTIEN 12,2406,ELVERUM
KIWI 072 YDALIR,OLAV SÆTERS VEG 2,2413,ELVERUM
FRYDENLUND SKOLE,FRYDENLUNDVEGEN 10,2414,ELVERUM
VESTAD SKOLE,Grønvegen 16,2406,ELVERUM
HANSTAD BARNE- OG U.SKOLE,IVAR SKÅRSETS VEG 42,2407,ELVERUM
ELVERUM UNGDOMSSKOLE,OLAV SCHULSTADS VEG 6,2408,ELVERUM
SØBAKKEN SKOLE,SØBAKKVEGEN 27,2409,ELVERUM
REMA 1000 STORHAMAR,KORNSILOVEGEN 58,2316,HAMAR
VÅLER UNGDOMSSKOLE,SKOLEVEGEN 5,2436,VÅLER I SOLØR
EXTRA VESTAD,MEIERIGATA 2,2406,ELVERUM
KIWI 085 HANSTAD,JOHAN FALKBERGETS VEG 4,2407,ELVERUM
KIWI 084 GRINDALSMOEN,JEGERSTIEN 24,2406,ELVERUM
SPAR Bekkelaget,GUBBERUDVEGEN 2,2312,OTTESTAD
YDALIR SKOLE,GRANITTVEGEN 4,2413,ELVERUM
Extra Grindalsmoen,TOROLF STORSVEENS VEG 26,2406,ELVERUM
NARVESEN 263 SENTRALST,FOSENKAIA 1,7010,TRONDHEIM
Bankhjørnet Veiservice,STORGATA 27,2414,ELVERUM
REMA 1000 Elverum,SØBAKKVEGEN 115,2409,ELVERUM
Matkroken Søre Osen,OSENSJØEN VEST 11,2428,SØRE OSEN
REMA 1000 HANSTAD,JOHAN FALKBERGETS VEG 2,2407,ELVERUM
NARVESEN 126 AMFI ELVERUM,TORGGATA 3,2408,ELVERUM
Joker Tingnes,TINGNESVEGEN 792,2350,NES PÅ HEDMARKEN
KIWI 006 BRUMUNDDAL,STAMPENVEGEN 20,2380,BRUMUNDDAL
KIWI 029 STAVSJØ,TINGNESVEGEN 21,2353,STAVSJØ
COOP OBS RUDSHØGDA,STOLVSTADVEGEN 2,2360,RUDSHØGDA
YX Brumunddal,RINGSAKERVEGEN 15,2383,BRUMUNDDAL
KIWI 242 NÆROSET,ÅSMARKVEGEN 761,2364,NÆROSET
EUROSPAR BRUMUNDDAL,Brugata 16,2380,BRUMUNDDAL
KIWI 074 NYDAL,ØVERMARKA 2,2320,FURNES
KYLSTAD SKOLE,BJØRGEDALSVEGEN 427,2320,FURNES
NES BARNESKOLE,Tingnesvegen 51,2353,STAVSJØ
MØRKVED SKOLE,KONGSVEGEN 94,2380,BRUMUNDDAL
FAGERNES SKOLE,ÅSMARKVEGEN 737,2364,NÆROSET
Extra Brumunddal,FURNESVEGEN 56,2382,BRUMUNDDAL
KIWI 081 MØRKVEDVEGEN,MØRKVEDVEGEN 2,2388,BRUMUNDDAL
Kiwi 082 Mæhlumsløkka,STAFSBERGVEGEN 76,2318,HAMAR
FURNES UNGDOMSSKOLE,GJERLUVEGEN 150,2320,FURNES
MOELV UNGDOMSSKOLE,MOLUNDVEGEN 41,2390,MOELV
FOSSEN SKOLE,FOSSVEGEN 6,2390,MOELV
SPAR Mjøsbrua,STORGATA 130,2390,MOELV
STAVSBERG SKOLE,KÅRTORPVEGEN 40,2320,FURNES
HEMPA SKOLE,BØRKESVEVEGEN 59,2386,BRUMUNDDAL
EXTRA FABRIKKVEGEN 268501,FABRIKKVEGEN 6,2383,BRUMUNDDAL
KIRKEKRETSEN SKOLE,VELDROMSVEGEN 6,2385,BRUMUNDDAL
FAGERLUND SKOLE,BEKKEVEGEN 3,2383,BRUMUNDDAL
REMA 1000 Fabrikkvegen,FABRIKKVEGEN 3,2383,BRUMUNDDAL
YX 7-Eleven 7569 Moelv,STORGATA 128,2390,MOELV
Passasjen,STORGATA 105,2390,MOELV
REMA 1000 Nordåsvegen,MAUSETVEGEN 4,2382,BRUMUNDDAL
Esso Brumunddal,NILS AMBLIS VEG 1,2380,BRUMUNDDAL
REMA 1000 BRUMUNDDAL,NILS AMBLIS VEG 4,2380,BRUMUNDDAL
SPAR SVEUM BRUMUNDDAL,BERGER LANGMOENS VEG 57,2386,BRUMUNDDAL
NARVESEN 153 HAMAR JB.ST.,STRANDGATA 2,2317,HAMAR
KIWI 329 HOKKSUND,VESTRE BRUGATE 3,3300,HOKKSUND
Extra Vestfossen,MØLLERGATA 1,3320,VESTFOSSEN
KIWI 433 VESTFOSSEN,STORGATA 50,3320,VESTFOSSEN
KIWI 576 NYBRUVEIEN,NYBRUVEIEN 3,3055,KROKSTADELVA
EIKERBLADET,STRØMSØ TORG 9,3044,DRAMMEN
EXTRA HERSTRØM,OVERGANGEN 3,3058,SOLBERGMOEN
KIWI 255 MJØNDALEN,ARBEIDERGATA 17,3050,MJØNDALEN
REMA 1000 Mjøndalen,ARBEIDERGATA,3050,MJØNDALEN
Extra Mjøndalen,ARBEIDERGATA 6,3050,MJØNDALEN
REMA 1000 KALOSJEGATA,KALOSJEGATA 88,3055,KROKSTADELVA
MIX HANDLERIET ASNES,VELØYVEIEN 41,3222,SANDEFJORD
KIWI 515 STOKKE,NYGAARDS ALLE 3,3160,STOKKE
Circle K Stokke,FREDERIK STANGS GATE 2,3160,STOKKE
MENY HASLESENTERET,NEDRE GOKSTADVEI 27,3228,SANDEFJORD
MENY STADIONTUNET,LASKENVEIEN 2,3214,SANDEFJORD
KIWI 312 RANVIKSKOGEN,RANVIKSKOGEN 4,3212,SANDEFJORD
KIWI 393 LASKENTUNET,ØVRE LASKENVEI 28,3221,SANDEFJORD
MENY PINDSLE,NYGÅRDSVEIEN 84,3221,SANDEFJORD
MS COLOR HYBRID,STRANDPROMENADEN 20,3210,SANDEFJORD
KIWI 557 KILGATA,KILGATA 8,3217,SANDEFJORD
MENY INDRE HAVN SANDEFJORD,KILGATA 25,3217,SANDEFJORD
MENY ANDEBU,ANDEBU SENTRUM 21,3158,ANDEBU
KIWI 562 ANDEBU,ANDEBU SENTRUM 23,3158,ANDEBU
STANGHJØRNET,DRONNINGENS GATE 11,3211,SANDEFJORD
KILEN BENSIN AS,KILGATA 20,3217,SANDEFJORD
Coop Prix Sperretorvet,STORGATA 23,3210,SANDEFJORD
EXTRA FRAMNES,VESTERØYVEIEN 27,3222,SANDEFJORD
REMA 1000 PINDSLE SANDEFJORD,PINDSLEVEIEN 11,3221,SANDEFJORD
REMA 1000 SANDEFJORD,KAMFJORDGATA 56,3217,SANDEFJORD
REMA 1000 TEMPOKRYSSET,SKIRINGSSALVEIEN 9,3211,SANDEFJORD
Circle K Haukerød,MOVEIEN 113,3221,SANDEFJORD
REMA 1000 STOKKE,KORNMAGASINGATA 7,3160,STOKKE
AKTIV EIENDOMSMEGLING,Kirkegata 4,3211,SANDEFJORD
REMA 1000 Østerøyveien,ØSTERØYVEIEN 2,3236,SANDEFJORD
JOKER GJEKSTAD,LAHELLEVEIEN 5,3218,SANDEFJORD
SPAR  HVALTORVET,TORGET 7,3210,SANDEFJORD
JOKER TOMTA,AAGAARDS PLASS 4,3211,SANDEFJORD
EXTRA KAMFJORDJORDET AVD 261100,HEGNAVEIEN 7,3235,SANDEFJORD
EXTRA PINDSLE AVD 265600,NYGÅRDSVEIEN 76,3221,SANDEFJORD
REMA 1000 Haukerød,MOVEIEN 111,3221,SANDEFJORD
Extra Mosserød,RINGVEIEN 71,3226,SANDEFJORD
Extra Haslebakken,HASLEBAKKEN 2,3229,SANDEFJORD
Narvesen 461 Sandefjord jbst.,PETER CASTBERGS GATE 7,3210,SANDEFJORD
REMA 1000 Thorøya,THORØYAVEIEN 4,3209,SANDEFJORD
SHELL KAMFJORD,VESTERØYVEIEN 1,3235,SANDEFJORD
St1 Fokserød,FOKSERØDVEIEN 19,3241,SANDEFJORD
MENY STOKKE,JOHANNES SANDVIKS VEI 2,3160,STOKKE
COOP OBS BYGG HAUGESUND,LONGHAMMARVEGEN 24,5536,HAUGESUND
NÆRBUTIKKEN ÅKRAFJORDTUNET,ÅKRAFJORDVEGEN 1105,5596,MARKHUS
EXTRA ÅKREHAMN,RINGVEGEN 8,4270,ÅKREHAMN
COOP PRIX VEDAVÅGEN,AUSTRE VEAVEG 217,4276,VEAVÅGEN
CIRCLE K HUSNES,Opsangervegen 3,5460,HUSNES
KIWI 611 ÅKRA,KLÆHAUGVEGEN 14,4270,ÅKREHAMN
KIWI 613 AVALDSNES,KONG AUGVALDS VEG 4,4262,AVALDSNES
KIWI 615 VORMEDAL,VORMEDALSVEGEN 340,5545,VORMEDAL
KIWI 620 SKÅREDALEN,SKJOLDAVEGEN 275,5533,HAUGESUND
KIWI 631 SPANNAVEGEN,SPANNAVEGEN 56,5531,HAUGESUND
SPAR Valen,EPLEHAGEN 3,5451,VALEN
KIWI 630 GARD,HAFRSFJORDGATA 11,5522,HAUGESUND
KIWI 641 TORVASTAD,HULDERVEGEN 1,4260,TORVASTAD
SPAR SØRHAUG,FJELLVEGEN 1,5532,HAUGESUND
MENY AKSDAL,RÅDHUSVEGEN 47,5570,AKSDAL
SPAR Sæbøvik,SÆBØVIKVEGEN 130,5454,SÆBØVIK
COOP EXTRA ØYGARDEN,ØYGARDEN 2,4262,AVALDSNES
Extra Divigården Åkra,VESTRE KARMØYVEG 321,4270,ÅKREHAMN
EXTRA KVALA,KRINGLEHAUG 2,5516,HAUGESUND
EXTRA AUSTMANNAVEIEN,AUSTMANNAVEGEN 11,5537,HAUGESUND
COOP PRIX ROGALANDSGATE,ROGALANDGATA 52,5531,HAUGESUND
EXTRA KOPERVIK,AUSTRE KARMØYVEG 130,4250,KOPERVIK
EXTRA AVALDSNES,KONG AUGVALDS VEG 10,4262,AVALDSNES
ARK SUND,HARALDSGATA 159,5527,HAUGESUND
Joker Utsira,UTSIRAVEGEN 28,5547,UTSIRA
COOP OBS HAUGESUND,LONGHAMMARVEGEN 27,5536,HAUGESUND
BON BON TOBAKK OG SJOKOLADE,HARALDSGATA 97,5528,HAUGESUND
EXTRA KARMSUNDGATA,KARMSUNDGATA 54,5529,HAUGESUND
SPAR SKÅREDALEN,RAGNVALD WESTBØES GATE 1,5534,HAUGESUND
SPAR Frakkagjerd,FRAKKAGJERDVEGEN 90,5563,FØRRESFJORDEN
KIWI 610 KIRKEGATA HAUGESUND,BREIDABLIKGATA 184,5525,HAUGESUND
SPAR Spannaveien,SPANNAVEGEN 148,5535,HAUGESUND
KIWI 622 SALHUSVEGEN,SALHUSVEGEN 93,5529,HAUGESUND
HAUGESUNDS AVIS,KARMSUNDGATA 72,5529,HAUGESUND
EXTRA MOKSHEIM,RØYSVEGEN 1,5545,VORMEDAL
KIWI 691 NORHEIM,SPANNAVEGEN 309,5542,KARMSUND
REMA 1000 SPANNAVEGEN,SPANNAVEGEN 151,5535,HAUGESUND
SSP Upper C/Point 5012602 HAU,HELGANESVEGEN 350,4262,AVALDSNES
MENY KARMSUNDGATA,KARMSUNDGATA 60,5529,HAUGESUND
MENY OASEN HAUGESUND,AUSTBØVEGEN 16,5542,KARMSUND
EXTRA HELSEHUSET,SØRHAUGGATA 115,5527,HAUGESUND
EXTRA FRAKKAGJERD,Frakkagjerdvegen 121,5563,FØRRESFJORDEN
Bunnpris Karmsundgata,KARMSUNDGATA 75,5531,HAUGESUND
SPAR VEA,Bleikmyrvegen 2,4276,VEAVÅGEN
REMA 1000 KVALA,AUSTRHEIMVEGEN 10,5516,HAUGESUND
ÅKRA UNGDOMSSKOLE AVIS I SKOLE,SKULEVEGEN 5,4270,ÅKREHAMN
JOKER EIDSVIK,Klostervegen 132,5455,HALSNØY KLOSTER
REMA 1000 BYTUNET,HARALDSGATA 177,5525,HAUGESUND
REMA 1000 RAGLAMYR,LONGHAMMARVEGEN 36,5536,HAUGESUND
NARVESEN 401 SYKEHUSET,KARMSUNDGATA 120,5528,HAUGESUND
Esso Karmsundgaten,KARMSUNDGATA 192,5527,HAUGESUND
Esso Deli de Luca Raglamyr,LONGHAMMARVEGEN 26,5536,HAUGESUND
KIWI 686 GARD SENTER,NYGÅRDSVEGEN 6,5515,HAUGESUND
DELI DE LUCA SENTRALBLOKKEN,HAUKELANDSVEIEN 22,5021,BERGEN
Bunnpris Markedet,SKÅREGATA 92,5528,HAUGESUND
Joker Haugen Kopervik,HOVEDGATEN 39,4250,KOPERVIK
Joker Haugesund,SØRHAUGGATA 152,5527,HAUGESUND
REMA 1000 Avaldsnes,KONG AUGVALDS VEG 1,4262,AVALDSNES
REMA 1000 Norheim,AUSTBØVEGEN 16,5542,KARMSUND
Narvesen 355 Haraldsgata,HARALDSGATA 125,5527,HAUGESUND
SHELL KOPERVIK,AVALDSNESVEGEN 72,4250,KOPERVIK
REMA 1000 ÅKREHAMN,TUNGARDEN 1,4270,ÅKREHAMN
KIWI 614 Stangeland,AUSTRE KARMØYVEG 189,4250,KOPERVIK
REMA 1000 BYGNES,FOTVEGEN 1,4250,KOPERVIK
"REMA 1000 GRAN, 11533",Morstadvegen 1,2750,GRAN
HADELAND AVIS,STORGATA 15,2750,GRAN
MOEN SKOLE,Rognstadvegen 64,2770,JAREN
REMA 1000 Harestua,VANNEBOS VEG 211,2743,HARESTUA
HAUGTUN SKOLE,TOREIDVEIEN 19,1925,BLAKER
GARDERÅSEN SKOLE AVIS I SKOLEN,Garderåsveien 202,1900,FETSUND
SØRUM SKOLE AVIS I SKOLEN,BINGENVEIEN 2,1923,SØRUM
FROGNER SKOLE AVIS I SKOLEN,TRONDHEIMSVEIEN 364,2016,FROGNER
BINGSFOSS UNGDOMSSKOLE,VENDOM 6,1920,SØRUMSAND
YX HURDAL,GLASSVERKVEGEN 31,2090,HURDAL
Nebbenes Kroer Nordgående,ORMLIBAKKEN 32,2074,EIDSVOLL VERK
REMA 1000 SAGA SENGER,DAMPSAGA ALLÉ 2,2053,JESSHEIM
REMA 1000 Eidsvoll,VORMAVEGEN 19,2080,EIDSVOLL
Solum Veiservice,TRONDHEIMSVEGEN 121,2070,RÅHOLT
Eidsvoll Ullensaker Blad,SUNDGATA 1,2080,EIDSVOLL
JOKER HOPESTRAND,ÅKVÅGVEIEN 456,4957,RISØR
SØRLANDSPORTEN TRAFIKKSENTER,SØNDELEDVEIEN 30,4994,AKLAND
COOP PRIX GJERSTAD,GJERSTADVEIEN 1337,4980,GJERSTAD
EXTRA RANDVIK,TYRIVEIEN 25,4956,RISØR
COOP PRIX RISØR,STRANDGATA 3,4950,RISØR
Circle K Risør,KRAGS GATE 140,4950,RISØR
KIWI 790 SØNDELED,ØREN 37,4990,SØNDELED
KIWI 704 Risør,KRAGS GATE 124,4950,RISØR
EUROSPAR BROKELANDSHEIA,BROKELANDSHEIA 20,4993,SUNDEBRU
Joker Risør,CARSTENSENS GATE 1,4950,RISØR
REMA 1000 RISØR,RISØRVEIEN 183,4950,RISØR
HOPE OPPVEKSTSENTER,ÅKVÅGVEIEN 495,4957,RISØR
ABEL UNGDOMSSKOLE,GJERSTADVEIEN 1335,4980,GJERSTAD
RISØR BARNESKOLE,KJEMPESTIEN 2,4956,RISØR
SØNDERLED SKOLE,BRATTSTØ 11,4990,SØNDELED
REMA 1000 KRAGSGATE,KRAGS GATE 53,4950,RISØR
REMA 1000 Brokelandsheia,BROKELANDSHEIA ØST 1,4993,SUNDEBRU
KIWI 708 TVEDESTRAND,INDUSTRIVEIEN 9,4900,TVEDESTRAND
NYNORSK ANTIKVARIAT,HOLGATA 2,4900,TVEDESTRAND
Extra Tvedestrand,BIBLIOTEKVEIEN 2,4900,TVEDESTRAND
Joker Åmli,GATA 50,4865,ÅMLI
JOKER NES VERK,Nesverkveien 234,4934,NES VERK
MENY TVEDESTRAND,Industriveien 8,4900,TVEDESTRAND
MATKROKEN KILSUND,KILSUNDVEIEN 156,4920,STAUBØ
KIWI 741 VEGÅRSHEI,HOVLANDSVEIEN 1,4985,VEGÅRSHEI
VEGÅRSHEI SKULE,SKOLEVEIEN 10,4985,VEGÅRSHEI
DYPVÅG SKOLE,DYPVÅGVEIEN 460,4904,TVEDESTRAND
LYNGMYR SKOLE,LYNGMYRVEIEN 60,4900,TVEDESTRAND
HOLT SKOLE,BLIVOLLENVEIEN 9,4905,TVEDESTRAND
TVEDESTRAND SKOLE,ARNE GARBORGS VEI 11,4900,TVEDESTRAND
Joker Tvedestrand,TJENNAVEIEN 13,4900,TVEDESTRAND
REMA 1000 Tvedestrand,FJÆRKLEIVENE 49,4900,TVEDESTRAND
EUROSPAR ROSENDAL,SKÅLAGATO 37,5470,ROSENDAL
YX Rong,TERNHOLMVEGEN 2,5337,RONG
