avis,Frekvens,postnummer, antall
34,25,4056,  6 
34,25,4070,  2 
34,25,4073,  1 
34,25,4076,  1 
34,25,4077,  1 
34,25,4083,  2 
34,25,4085,  2 
34,25,4120,  1 
34,25,4152,  1 
34,25,4156,  1 
34,25,4158,  1 
34,25,4306,  1 
34,25,4307,  2 
34,25,4310,  1 
34,25,4313,  3 
34,25,4314,  1 
34,25,4315,  1 
34,25,4316,  1 
34,25,4318,  5 
34,25,4319,  2 
34,25,4321,  1 
34,25,4322,  2 
34,25,4325,  2 
34,25,4326,  1 
34,25,4327,  2 
34,25,4328,  3 
34,25,4329,  1 
34,25,4330,  3 
34,25,4340,  1 
34,25,4341,  1 
34,25,4349,  1 
34,25,4351,  1 
34,25,4353,  2 
34,25,4355,  1 
34,25,4360,  6 
34,25,4362,  1 
34,25,4365,  7 
34,25,4370,  1 
34,25,4371,  4 
34,25,4373,  6 
34,25,4379,  1 
34,25,4381,  2 
34,25,4401,  3 
34,25,4402,  10 
34,25,4403,  1 
34,25,4439,  1 
34,25,4441,  9 
34,25,4465,  3 
34,25,4486,  3 
34,25,4490,  4 
34,25,4491,  4 
34,25,4502,  1 
34,25,4515,  1 
34,25,4523,  1 
34,25,4551,  1 
34,25,4552,  2 
34,25,4575,  1 
34,25,4576,  1 
34,25,4604,  2 
34,25,4605,  1 
34,25,4612,  1 
34,25,4614,  1 
34,25,4615,  1 
34,25,4616,  2 
34,25,4622,  1 
34,25,4626,  2 
34,25,4630,  1 
34,25,4631,  1 
34,25,4633,  2 
34,25,4635,  1 
34,25,4664,  2 
34,25,4677,  1 
34,25,4700,  1 
34,25,4839,  1 
34,25,4846,  1 
34,25,4847,  1 
34,25,4878,  1 
34,25,4879,  1 
34,25,4888,  1 
34,25,5011,  1 
34,25,5053,  1 
34,25,5056,  1 
34,25,5118,  1 
34,25,5136,  1 
34,25,5179,  1 
34,25,5310,  1 
34,25,5392,  1 
34,25,5501,  1 
34,25,5527,  1 
34,25,5542,  1 
34,25,7500,  1 
34,25,8607,  1 
34,25,9999,  1 
34,25,DE,  1 
22,246,203,  1 
22,246,283,  1 
22,246,284,  1 
22,246,779,  1 
22,246,1168,  1 
22,246,1654,  1 
22,246,1832,  1 
22,246,2013,  1 
22,246,3015,  1 
22,246,3092,  1 
22,246,5700,  1 
22,246,7018,  1 
22,246,7021,  1 
22,246,7028,  1 
22,246,7029,  1 
22,246,7030,  1 
22,246,7035,  1 
22,246,7036,  2 
22,246,7040,  1 
22,246,7042,  3 
22,246,7049,  2 
22,246,7052,  1 
22,246,7055,  1 
22,246,7067,  1 
22,246,7070,  10 
22,246,7074,  24 
22,246,7078,  1 
22,246,7080,  2 
22,246,7082,  2 
22,246,7083,  12 
22,246,7089,  3 
22,246,7099,  1 
22,246,7221,  7 
22,246,7223,  3 
22,246,7227,  43 
22,246,7355,  2 
22,246,7411,  1 
22,246,7435,  1 
22,246,7437,  1 
22,246,7491,  1 
22,246,7501,  1 
22,246,8607,  1 
22,246,SE,  1 
42,24,121,  1 
42,24,158,  1 
42,24,214,  1 
42,24,362,  1 
42,24,663,  1 
42,24,1160,  1 
42,24,1353,  1 
42,24,1358,  1 
42,24,1363,  1 
42,24,1415,  1 
42,24,1534,  1 
42,24,2014,  1 
42,24,3032,  1 
42,24,3187,  1 
42,24,4100,  1 
42,24,4373,  1 
42,24,5151,  1 
42,24,5221,  1 
42,24,5259,  1 
42,24,5416,  1 
42,24,7041,  1 
